problem,prob_dim,funcvals,gradnorm,success,nits,10,14,15
HIMMELBB,2,1.2278178473934531e-09,1.2434173601030952e-06,True,14,14,2,4
CLIFF,2,0.2004241943359375,0.030040211748578172,False,53,52,2,6
ERRINRSM,50,39.107421875,1.3476685700725897,False,76,28,15,44
BEALE,2,0.0,0.0,True,24,9,14,10
HILBERTB,10,2.1931241545036784e-15,2.1048427792785285e-07,True,12,12,2,4
JENSMP,2,2017.6875,3.2569580078144935,False,24,23,2,6
HIMMELBH,2,-1.0001220703125,0.000244140625,False,25,9,9,13
ENGVAL2,3,1.564621925354004e-07,0.002465699447842304,False,53,12,13,37
MUONSINELS,1,51154.0,96.41015625,False,23,8,3,19
HATFLDFLS,3,1.897662878036499e-05,0.00016004107959759914,False,52,17,25,17
ZANGWIL2,2,-18.2001953125,0.0,True,3,2,2,6
GROWTHLS,3,3542.125,1.8640118017447184e-26,True,7,7,2,4
