problem,prob_dim,funcvals,gradnorm,success,nits,24
HIMMELBB,2,5.605024365647193e-14,1.1754599427150122e-07,True,12,14
CLIFF,2,8.597132682800293,1.411761526663819,False,35,36
ERRINRSM,50,38.5409049987793,0.3486771294037908,False,999,1001
BEALE,2,7.531752999057062e-13,7.107959815255925e-06,True,20,22
HILBERTB,10,1.2485532457906772e-14,4.998154007415667e-07,True,6,8
JENSMP,2,2019.941650390625,0.05885934989257946,False,20,21
HIMMELBH,2,-1.000000238418579,1.622823340915836e-05,False,23,24
ENGVAL2,3,2.842170943040401e-14,6.743495761743046e-07,True,34,36
MUONSINELS,1,51135.03125,0.388458251953125,False,25,26
HATFLDFLS,3,2.7943519720352583e-10,4.1772784639916686e-07,True,142,144
ZANGWIL2,2,-18.19999122619629,5.086263217890519e-06,True,5,7
GROWTHLS,3,3542.1494140625,1.723378113554635e-26,True,5,7
SINEVAL,2,1.8419874932523554e-15,3.639465585143448e-06,True,112,114
GAUSS2LS,8,1247.5269775390625,2.894541221354437,False,61,62
LSC1LS,3,7.711852073669434,2.4164225818199414e-05,False,97,98
ERRINROS,50,40.34796142578125,0.5522614599782785,False,999,1001
RECIPELS,3,5.08345643357444e-10,5.003558799156866e-06,True,18,20
QING,100,9.749797413860506e-09,0.0014028829416691602,False,94,95
LUKSAN14LS,98,124.7152328491211,0.0975907023572206,False,123,124
PRICE4,2,1.3064099159561769e-14,6.694971620300147e-07,True,12,14
PALMER6C,8,0.016386853531003,0.036074477144262734,False,89,90
LANCZOS2LS,6,4.009215444966685e-06,4.365210663103071e-06,True,32,34
BENNETT5LS,3,0.000538698339369148,0.04407792591483322,False,50,51
GULF,3,1.0688021134797054e-08,1.4981185654169232e-06,True,36,38
PALMER2C,8,0.014384844340384007,0.8784514240874883,False,90,91
HUMPS,2,3.530909559960188e-13,2.65740885514153e-07,True,308,310
YFITU,3,2.377650680507326e-11,0.0009597456507900283,False,340,341
BARD,3,0.00821487233042717,3.138446531768561e-06,True,22,24
HAIRY,2,20.0,0.006644124704861882,False,60,61
MISRA1BLS,2,7.317231178283691,67.62502599472553,False,33,34
HATFLDGLS,25,2.4163438611113364e-11,9.716833898033453e-06,True,58,60
DENSCHNC,2,0.18336161971092224,2.4827315093071773e-05,False,32,33
CHWIRUT2LS,3,513.0477905273438,1.0082246733487406,False,51,52
CHNRSNBM,50,34.33404541015625,0.04046738275035157,False,449,450
HATFLDD,3,6.62485319935513e-08,9.623213784831542e-06,True,25,27
JUDGE,2,20.482332229614258,9.482704202483595e-05,False,24,25
HIMMELBCLS,2,0.0,0.0,True,13,15
POWERSUM,4,37.431419372558594,0.00103759765625,False,25,26
DENSCHND,3,5.561810123566602e-09,3.0543036262759286e-06,True,49,51
POWELLSQLS,2,7.89567882919629e-19,1.7771564915416468e-07,True,20,22
MARATOSB,2,-0.6153346300125122,36.58654423564198,False,999,1001
LSC2LS,3,13.4356050491333,0.0027793052720390407,False,121,122
WATSON,12,9.174443249548858e-08,2.7808335141220465e-05,False,87,88
PALMER1C,8,0.09744688868522644,16.613060229764926,False,58,59
BROWNBS,2,2.5497606210126897e-29,1.0099030681544937e-14,True,57,59
SENSORS,100,-2088.281005859375,0.4506749893678476,False,48,49
SSI,3,1.291294120164821e-05,0.306621542345261,False,999,1001
