problem,prob_dim,funcvals,gradnorm,success,nits,8,11,17,24,53
HIMMELBB,2,7.939044548776574e-12,6.222489374965574e-07,True,16,14,2,2,2,4
CLIFF,2,0.19979596765089025,0.006161752468919432,False,61,17,9,34,2,8
ERRINRSM,50,38.53668092507056,0.5278179588611316,False,999,18,9,24,550,418
BEALE,2,5.207383121149954e-13,1.0100301413788315e-06,True,22,15,2,4,3,8
HILBERTB,10,1.1216185519212924e-14,4.785117625323022e-07,True,16,14,2,2,2,4
JENSMP,2,1938.4406039088724,442.33179019280016,False,999,11,2,3,8,987
HIMMELBH,2,-1.0000000000000004,3.102665882975762e-09,True,23,12,1,8,4,9
ENGVAL2,3,4.568606196576217e-19,8.156895094858341e-08,True,48,8,15,17,8,13
MUONSINELS,1,51127.27547426872,3.292655037512304e-08,True,24,11,3,4,7,11
HATFLDFLS,3,1.1330543554493592e-09,8.658197103879143e-07,True,179,16,2,120,42,10
ZANGWIL2,2,-18.19999999999994,4.342999481004241e-07,True,19,3,7,4,6,11
GROWTHLS,3,3542.14903046,1.5510557195656447e-26,True,9,7,2,2,2,4
SINEVAL,2,1.69203886354339e-13,4.4223556413135866e-06,True,110,8,7,8,88,14
GAUSS2LS,8,9080.672276019333,304763.48930720025,False,26,23,2,2,2,4
LSC1LS,3,7.711852238819962,6.354763324468448e-12,True,118,11,39,15,52,13
ERRINROS,50,40.35299785497776,0.4523478002834294,False,999,15,10,6,97,887
RECIPELS,3,4.9155250808919946e-14,3.461661834327424e-07,True,26,22,4,2,2,4
QING,100,4.765056567732207e-13,4.538269010368519e-06,True,111,22,4,6,28,71
LUKSAN14LS,98,124.6958834843571,7.841248046498516e-06,True,228,23,9,9,40,165
PRICE4,2,5.101794788743376e-09,9.664165873571473e-07,True,55,28,20,8,2,6
PALMER6C,8,0.016387443822228693,3.732846263569667e-06,True,136,21,8,42,61,22
LANCZOS2LS,6,4.184206531584332e-06,2.044679572816007e-06,True,81,11,16,53,2,10
BENNETT5LS,3,0.0005389474681965974,7.497722107757095e-07,True,42,10,11,15,3,15
