problem,prob_dim,funcvals,gradnorm,success,nits,8,13,18,23,28,33,38,43,48,53
HIMMELBB,2,7.938928233680711e-12,6.222443779532076e-07,True,21,14,2,2,2,2,2,2,2,2,4
CLIFF,2,0.19978661367771205,3.3697604274344793e-09,True,60,17,9,8,9,14,2,2,2,2,12
ERRINRSM,50,38.53177571296692,0.2702775219239408,False,999,18,9,26,87,861,0,0,0,0,20
BEALE,2,4.0121142807434324e-15,5.658013818744127e-07,True,31,15,2,8,3,2,2,2,2,2,8
HILBERTB,10,1.1216185519212924e-14,4.785117625323022e-07,True,21,14,2,2,2,2,2,2,2,2,4
JENSMP,2,124.36218235561486,8.58544430068698e-06,True,79,11,2,3,8,3,10,41,2,2,16
HIMMELBH,2,-1.0,3.700006647618331e-10,True,30,12,1,8,3,2,3,2,2,2,12
ENGVAL2,3,1.8370077865900995e-13,4.4787343402663814e-07,True,58,8,19,16,8,5,0,2,2,2,14
MUONSINELS,1,51127.703619167325,2.963190581795061e-09,True,28,11,4,3,4,2,2,1,2,2,16
HATFLDFLS,3,5.24607915648481e-10,5.987006866996077e-07,True,188,16,5,11,151,2,2,3,2,2,12
ZANGWIL2,2,-18.199999999999893,5.863097932318286e-07,True,12,3,3,2,2,2,2,2,2,2,6
GROWTHLS,3,3542.14903046,1.5510557195656447e-26,True,14,7,2,2,2,2,2,2,2,2,4
SINEVAL,2,1.935434082499815e-13,4.905400543506602e-07,True,129,8,8,108,2,2,2,2,2,2,16
GAUSS2LS,8,9080.672156276489,304761.33123924414,False,31,23,2,2,2,2,2,2,2,2,4
LSC1LS,3,7.711852238819979,5.80078389435832e-07,True,109,11,38,5,53,0,2,0,2,2,14
ERRINROS,50,40.351561546325684,0.2238534515375078,False,999,15,10,46,21,909,0,0,0,0,16
RECIPELS,3,8.033467396396837e-10,6.474158161301554e-07,True,31,22,4,2,2,2,2,2,2,2,4
QING,100,1.9005173436833172e-14,1.4320475650025408e-06,True,112,22,6,6,17,19,21,15,6,2,40
LUKSAN14LS,98,124.61243047756145,8.120811034380758e-06,True,176,23,16,7,25,56,2,14,6,19,54
PRICE4,2,7.417404740134149e-09,9.975891783693598e-07,True,54,28,20,1,2,2,2,2,2,2,8
PALMER6C,8,0.016387499247596513,8.50366946190212e-07,True,138,21,28,2,23,39,2,21,2,2,20
LANCZOS2LS,6,4.2768457673371e-06,1.0108281407222113e-06,True,64,11,16,29,4,2,2,2,2,2,10
