,problem,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,converged,0.05438089370727539,8.646881550973304e-10,7.859514234625429e-07,20,22,0,First order condition met
1,CHWIRUT2LS,converged,0.0359041690826416,513.0480294068651,7.989076322399072e-07,48,50,0,First order condition met
2,PALMER5C,converged,0.0069980621337890625,2.128086643454523,1.1478711342092123e-12,10,12,0,First order condition met
3,DENSCHNB,converged,0.015823841094970703,9.749897068104076e-19,2.783095182667453e-09,9,11,0,First order condition met
4,GBRAINLS,converged,0.0476679801940918,28.51585818940278,1.9758427169820908e-07,29,31,0,First order condition met
5,MGH10LS,failed,1.5858476161956787,10830960.617312813,1340730902915.0547,1999,2001,0,Exceed max iterations
6,QING,converged,0.26193904876708984,2.495918766326211e-15,5.790417871699319e-07,128,130,0,First order condition met
7,BOX3,converged,0.026457786560058594,1.1357943151608319e-10,4.6930001931589487e-07,19,21,0,First order condition met
8,DENSCHNC,converged,0.0073680877685546875,0.1833616546779665,4.3656611047695353e-07,19,21,0,First order condition met
9,LANCZOS3LS,converged,0.17600798606872559,7.760427890118613e-07,9.121628854721405e-07,125,127,0,First order condition met
10,GAUSS1LS,failed,0.09678316116333008,1315.8222554815216,17.897269598876484,100,101,0,TR radius too small
11,MGH09LS,converged,0.12822198867797852,0.0010197405119125626,4.577626642307348e-07,69,71,0,First order condition met
12,LANCZOS1LS,converged,0.13236212730407715,6.672879818930842e-07,5.548432658954646e-07,98,100,0,First order condition met
13,GAUSS3LS,failed,0.10943007469177246,1244.4846360131562,0.001218679227251644,100,101,0,TR radius too small
14,DENSCHNA,converged,0.014976978302001953,7.373103452888446e-19,1.8861217609080885e-09,13,15,0,First order condition met
15,NELSONLS,failed,0.08944416046142578,16.23781723402481,1053.8239759146695,82,83,0,TR radius too small
16,LUKSAN21LS,failed,4.60090708732605,41.47933787209388,0.8472766013629809,1999,2001,0,Exceed max iterations
17,VANDANMSLS,converged,0.25733304023742676,7.7997053696892324,1.7733466971720636e-07,205,207,0,First order condition met
18,SENSORS,failed,0.452678918838501,-2108.53125,1.0274109004885814e-06,67,68,0,TR radius too small
19,DENSCHND,converged,0.10775494575500488,6.754974759655121e-10,3.281687812055137e-07,78,80,0,First order condition met
20,DANWOODLS,failed,0.00146484375,,,0,2,0,Obj is nan or +/-inf
21,ZANGWIL2,converged,0.0017101764678955078,-18.200000009100002,0.0,1,3,0,First order condition met
22,CUBE,converged,0.0919342041015625,4.112383571875416e-14,1.2853273796799844e-07,93,95,0,First order condition met
23,MUONSINELS,converged,0.00928497314453125,51156.55719416651,1.506493276792753e-07,15,17,0,First order condition met
24,DENSCHNE,converged,0.05173683166503906,8.672412209156735e-14,5.889792961187498e-07,45,47,0,First order condition met
25,DMN15333LS,failed,36.01647996902466,152.2686912600729,146.96614004360765,1999,2001,0,Exceed max iterations
26,PALMER8C,failed,0.12095499038696289,0.15976783357755378,1.6692571322409478e-06,78,79,0,TR radius too small
27,DIAMON3DLS,failed,33.20031690597534,515.306081199404,72.4148857738663,1999,2001,0,Exceed max iterations
28,PALMER5D,converged,0.006773948669433594,87.33939475358346,8.223308367382064e-09,14,16,0,First order condition met
29,EXPFIT,converged,0.019830942153930664,0.24051059399905828,2.752340576456613e-08,20,22,0,First order condition met
30,HELIX,converged,0.04900312423706055,1.438080603226799e-14,5.464484089857401e-07,54,56,0,First order condition met
31,LSC2LS,converged,0.09246993064880371,13.358774684827186,9.901163327572345e-07,101,103,0,First order condition met
32,KOWOSB,converged,0.03977179527282715,0.00030780104447978234,8.366151445722677e-07,35,37,0,First order condition met
33,S308,converged,0.02545619010925293,0.7731990564929399,2.7360977579883085e-07,19,21,0,First order condition met
34,DANIWOODLS,converged,0.028582096099853516,103.91782120130807,8.646388591943252e-07,20,22,0,First order condition met
35,DENSCHNF,converged,0.02294778823852539,3.465192902468662e-18,3.467227444331231e-08,27,29,0,First order condition met
36,PALMER4C,failed,0.14073801040649414,0.05031068694932987,1.725465235577559e-06,75,76,0,TR radius too small
37,YFITU,converged,0.2585747241973877,5.32072422876777e-10,3.1728775359275154e-07,202,204,0,First order condition met
38,GAUSS2LS,failed,0.18980693817138672,1247.5282092350596,2.4054858733565956,228,229,0,TR radius too small
39,CHWIRUT1LS,converged,0.04783487319946289,2384.477139309349,2.547340586296202e-09,65,67,0,First order condition met
40,COOLHANSLS,converged,0.3064157962799072,4.528826004528105e-12,8.875440569192045e-07,271,273,0,First order condition met
41,HAHN1LS,failed,2.147067070007324,32.65538172402989,78807.6478538762,1999,2001,0,Exceed max iterations
42,HIMMELBB,converged,0.02530503273010254,1.9108429727543554e-16,3.907957651785333e-08,31,33,0,First order condition met
43,VESUVIOLS,failed,0.6252081394195557,991.4100028725867,0.17884801120639085,379,380,0,TR radius too small
44,PALMER3C,converged,0.018822908401489258,0.019537638953599872,6.610889982649411e-10,33,35,0,First order condition met
45,LUKSAN22LS,failed,0.5411748886108398,868.9404775269418,1.444794795966278e-06,269,270,0,TR radius too small
46,CHNROSNB,failed,3.4339189529418945,7.023782237093596e-13,2.9555707475962256e-06,1205,1206,0,TR radius too small
47,LOGHAIRY,failed,1.5085058212280273,5.637243142421801,0.005145015105049235,1999,2001,0,Exceed max iterations
48,HYDCAR6LS,failed,7.872760057449341,0.0006931002992603004,0.09133249820968069,1999,2001,0,Exceed max iterations
49,LANCZOS2LS,converged,0.16451311111450195,4.915802310580222e-07,9.42373793655015e-07,144,146,0,First order condition met
50,HEART6LS,failed,2.117276906967163,0.00100233723142456,79.8782288474053,1999,2001,0,Exceed max iterations
51,HIMMELBG,converged,0.009896278381347656,1.7318403977405515e-14,3.805674509145662e-07,10,12,0,First order condition met
52,MARATOSB,failed,1.2256700992584229,-1.0000000624999914,1.7618447366949397e-05,1672,1673,0,TR radius too small
53,TOINTQOR,converged,0.04936695098876953,1175.472222146169,8.161703396170751e-07,33,35,0,First order condition met
54,BRKMCC,converged,0.005540132522583008,0.1690426791964567,8.032220270101377e-07,10,12,0,First order condition met
55,STRTCHDV,converged,0.043936967849731445,6.048636152987726e-11,3.306721097094649e-07,41,43,0,First order condition met
56,POWELLBSLS,converged,0.3174741268157959,4.1346864826439067e-07,9.709457224221857e-07,580,582,0,First order condition met
57,DEVGLA2,failed,0.00029587745666503906,,,0,2,0,Obj is nan or +/-inf
58,HILBERTA,converged,0.002992868423461914,3.3774607427924815e-27,2.1085746935774095e-14,2,4,0,First order condition met
59,RECIPELS,converged,0.033284902572631836,6.944378501689886e-10,9.942676558693142e-07,34,36,0,First order condition met
60,PALMER2C,converged,0.03543400764465332,0.014368885657925526,9.610287917969485e-08,38,40,0,First order condition met
61,HIMMELBF,converged,0.04087710380554199,318.5717487911245,6.0049144854971e-07,44,46,0,First order condition met
62,ROSENBRTU,converged,0.08949804306030273,4.0173017959047695e-18,8.308634595737582e-08,98,100,0,First order condition met
63,STRATEC,converged,9.24449110031128,2212.262290907353,4.091431975405507e-07,208,210,0,First order condition met
64,MGH17LS,failed,0.036984920501708984,1.1053406124265028,0.006969640869873733,42,43,0,TR radius too small
65,DEVGLA1,failed,0.0003440380096435547,,,0,2,0,Obj is nan or +/-inf
66,BENNETT5LS,failed,0.0008120536804199219,,,0,2,0,Obj is nan or +/-inf
67,HILBERTB,converged,0.006460905075073242,2.3676023542500632e-14,6.908572896029446e-07,7,9,0,First order condition met
