,problem,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,converged,0.05236983299255371,8.651617919826877e-10,7.862007094134211e-07,21,26,22,First order condition met
1,CHWIRUT2LS,failed,0.09491324424743652,513.0480294068658,5.849832584394932e-06,88,93,64,TR radius too small
2,PALMER5C,converged,0.010557889938354492,2.1280866434545516,6.955166658864957e-07,12,17,13,First order condition met
3,DENSCHNB,converged,0.013237953186035156,4.14919292084546e-14,5.397455858681687e-07,10,15,11,First order condition met
4,GBRAINLS,converged,0.08045172691345215,28.515858189402785,3.6971088212881906e-07,39,49,39,First order condition met
5,MGH10LS,failed,1.6442859172821045,163826.53708574618,22698082.362107486,1999,2007,758,Exceed max iterations
6,QING,converged,0.2734191417694092,8.047677177444144e-15,9.11974341032871e-07,131,145,74,First order condition met
7,BOX3,converged,0.02207803726196289,2.943932704474793e-14,3.3779515830535885e-08,15,20,16,First order condition met
8,DENSCHNC,converged,0.03673076629638672,0.1833616546779343,4.207816792887449e-10,41,47,42,First order condition met
9,LANCZOS3LS,converged,0.2235429286956787,1.720354442410999e-06,3.6584366258136847e-07,164,170,165,First order condition met
10,GAUSS1LS,converged,0.10678219795227051,1315.8222432033765,4.570579787133081e-07,79,87,69,First order condition met
11,MGH09LS,converged,0.16223597526550293,0.001019603780067028,3.40716656947773e-07,93,98,94,First order condition met
12,LANCZOS1LS,converged,0.20907115936279297,7.282708934949578e-07,2.6883346478923674e-07,164,169,165,First order condition met
13,GAUSS3LS,converged,0.10845804214477539,1244.4846360131553,4.662468262600525e-07,84,90,75,First order condition met
14,DENSCHNA,converged,0.02067399024963379,2.871370023906712e-16,4.150553484622219e-08,14,19,15,First order condition met
15,NELSONLS,failed,0.0627288818359375,20.617794686846352,1327.9992725443728,67,71,67,TR radius too small
16,LUKSAN21LS,failed,4.628360748291016,44.689809152577595,1.7181527442845337,1999,2003,2001,Exceed max iterations
17,VANDANMSLS,converged,0.39108705520629883,7.810594904486347,2.9426713030356334e-07,374,381,100,First order condition met
18,SENSORS,converged,0.2864110469818115,-2108.53125,3.869801875621638e-07,44,50,36,First order condition met
19,DENSCHND,converged,0.11840605735778809,8.517956216556422e-09,6.197969337745012e-07,84,89,85,First order condition met
20,DANWOODLS,failed,0.0008089542388916016,,,0,2,2,Obj is nan or +/-inf
21,ZANGWIL2,converged,0.028475046157836914,-18.20000000909999,8.041173458991835e-08,24,30,25,First order condition met
22,CUBE,converged,0.09680891036987305,6.612059499355093e-18,1.6257830359347903e-09,88,97,88,First order condition met
23,MUONSINELS,converged,0.023925065994262695,51156.557194166795,4.4191730808051943e-07,27,33,28,First order condition met
24,DENSCHNE,converged,0.05293893814086914,3.817868221988037e-15,1.2357779946061544e-07,46,51,47,First order condition met
25,DMN15333LS,failed,36.72811484336853,178.69764866185076,173.26968428255597,1999,2007,391,Exceed max iterations
26,PALMER8C,converged,0.03691887855529785,0.15976783350894905,6.756559692933517e-07,35,40,36,First order condition met
27,DIAMON3DLS,failed,36.30314588546753,910.2644397933044,85.4630904693847,1999,2007,422,Exceed max iterations
28,PALMER5D,failed,0.044774770736694336,87.33939475358291,2.443540505346338e-06,50,55,43,TR radius too small
29,EXPFIT,failed,0.043419837951660156,0.24051059399907437,2.932030665634761e-06,50,54,50,TR radius too small
30,HELIX,converged,0.05838775634765625,4.360728952111868e-14,7.748826989298428e-07,55,64,56,First order condition met
31,LSC2LS,converged,0.2236790657043457,13.357368866164443,9.478737321214075e-07,254,260,113,First order condition met
32,KOWOSB,converged,0.04595518112182617,0.0003078009693132526,7.809336519608476e-07,37,42,38,First order condition met
