,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,2,True,0.003951072692871094,2.3445403898593316e-07,5.604936848631749e-05,14,16,0,First order condition met
1,CHWIRUT2LS,3,False,0.019580841064453125,513.0480294068652,0.0008281018483496786,79,80,0,TR radius too small
2,PALMER5C,6,True,0.002216815948486328,2.1280866434545147,7.030074765891219e-11,6,8,0,First order condition met
3,DENSCHNB,2,True,0.0028569698333740234,9.104158425145312e-11,1.922126233006863e-05,10,12,0,First order condition met
4,GBRAINLS,2,True,0.012585878372192383,28.51585818940301,9.704246031008367e-05,21,23,0,First order condition met
5,MGH10LS,3,False,0.2543661594390869,1308667596.4546192,406663074.6882751,999,1001,0,Exceed max iterations
6,BOX3,3,True,0.0036077499389648438,1.1796972769578689e-06,5.200791441037165e-05,12,14,0,First order condition met
7,DENSCHNC,2,True,0.005751132965087891,0.1833616549557765,8.253560775692428e-05,23,25,0,First order condition met
8,LANCZOS3LS,6,True,0.021776914596557617,4.260374208660676e-06,8.173273202791354e-06,53,55,0,First order condition met
9,GAUSS1LS,8,True,0.02346014976501465,1315.8222432033767,2.793476579698894e-06,67,69,0,First order condition met
10,MGH09LS,4,True,0.005372047424316406,0.0019345809845201832,3.0262540311702385e-05,16,18,0,First order condition met
11,LANCZOS1LS,6,True,0.031640052795410156,4.228651698755554e-06,7.664015397233821e-05,68,70,0,First order condition met
12,GAUSS3LS,8,True,0.02776312828063965,1244.4846360131564,8.007299560092253e-07,72,74,0,First order condition met
13,DENSCHNA,2,True,0.0029578208923339844,9.69222234440993e-12,9.519871955815147e-06,10,12,0,First order condition met
14,NELSONLS,3,False,0.01397395133972168,12.731348372641909,5027.906103008685,68,69,0,TR radius too small
15,VANDANMSLS,22,True,0.004897117614746094,9.623042851177823,3.2303890448074385e-06,16,18,0,First order condition met
16,DENSCHND,3,True,0.018146991729736328,3.6911576839032804e-07,1.963873829510277e-05,71,73,0,First order condition met
17,DANWOODLS,2,False,0.000125885009765625,,,0,2,0,Obj is nan or +/-inf
18,ZANGWIL2,2,True,0.001463174819946289,-18.20000000910001,3.9061903366920716e-15,5,7,0,First order condition met
19,CUBE,2,True,0.015654802322387695,3.900393095591415e-15,2.700964326119821e-07,61,63,0,First order condition met
20,MUONSINELS,1,True,0.0022127628326416016,51139.12719535319,1.48719436765532e-09,8,10,0,First order condition met
21,DENSCHNE,3,False,0.1853780746459961,0.4941232375975337,0.41763152464991493,999,1001,0,Exceed max iterations
22,PALMER8C,8,True,0.010859012603759766,0.15976783349656232,5.4421283387213e-07,26,28,0,First order condition met
23,PALMER5D,4,True,0.002246856689453125,87.33939475358288,1.0636340619668802e-10,8,10,0,First order condition met
24,EXPFIT,2,True,0.0066187381744384766,0.24051059400288682,1.0423910437604516e-05,22,24,0,First order condition met
25,HELIX,3,True,0.010236978530883789,1.0555076631288309e-11,8.597173696362892e-05,35,37,0,First order condition met
26,LSC2LS,3,True,0.1481328010559082,13.358898255038767,7.372403934826163e-05,651,653,0,First order condition met
27,KOWOSB,4,True,0.01397395133972168,0.00030780106636545834,9.121084803917968e-06,42,44,0,First order condition met
28,S308,2,True,0.005457878112792969,0.7731990569745555,7.069370761358978e-05,20,22,0,First order condition met
29,DANIWOODLS,2,True,0.003821849822998047,0.0043173084082913,1.6767220054382324e-07,16,18,0,First order condition met
30,DENSCHNF,2,True,0.004655122756958008,1.2201068388754693e-15,6.245889396439803e-07,18,20,0,First order condition met
31,PALMER4C,8,True,0.010146141052246094,0.05031068694932469,1.3408173032086153e-08,26,28,0,First order condition met
32,YFITU,3,True,0.06392884254455566,2.4060465910396645e-11,6.657022619284381e-08,216,218,0,First order condition met
33,GAUSS2LS,8,True,0.021675825119018555,1247.5282092309988,1.7055231071910746e-05,63,65,0,First order condition met
34,CHWIRUT1LS,3,True,0.014942169189453125,2384.4771393093483,5.007039928314449e-09,61,63,0,First order condition met
35,COOLHANSLS,9,True,0.11686897277832031,6.545921836890957e-10,7.193667752159506e-06,217,219,0,First order condition met
36,HAHN1LS,7,False,0.3556990623474121,33.05525463217186,27337.282599615606,999,1001,0,Exceed max iterations
37,HIMMELBB,2,True,0.0041120052337646484,8.917869730287936e-23,3.763304180289999e-08,21,23,0,First order condition met
38,VESUVIOLS,8,False,0.29935693740844727,991.410002872594,0.26204494777075926,454,455,0,TR radius too small
39,PALMER3C,8,True,0.00604701042175293,0.019537638953601555,1.1602673631605434e-05,28,30,0,First order condition met
40,LOGHAIRY,2,False,0.27135372161865234,3.2070286168089575,0.05667025634620349,999,1001,0,Exceed max iterations
41,LANCZOS2LS,6,True,0.024582862854003906,4.319291056320785e-06,4.178511008599652e-05,56,58,0,First order condition met
42,HEART6LS,6,False,0.41111302375793457,0.004656548636641959,50.903623617815775,999,1001,0,Exceed max iterations
43,HIMMELBG,2,True,0.004127979278564453,3.156677341225546e-14,5.304162203159084e-07,15,17,0,First order condition met
44,MARATOSB,2,False,0.2623763084411621,-0.6669768603133925,174.67575266604163,999,1001,0,Exceed max iterations
45,BRKMCC,2,True,0.0009627342224121094,0.1690426791967305,3.850303056491981e-06,3,5,0,First order condition met
46,STRTCHDV,10,True,0.011278152465820312,1.6640937733581072e-07,9.719725819087386e-05,27,29,0,First order condition met
47,POWELLBSLS,2,True,0.12114405632019043,3.8546624367392477e-07,9.099273856872679e-07,597,599,0,First order condition met
48,DEVGLA2,5,False,0.005838155746459961,,,23,25,0,Obj is nan or +/-inf
49,HILBERTA,2,True,0.0018157958984375,1.859957652080084e-21,1.564766534601076e-11,6,8,0,First order condition met
