,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,2,True,0.0041332244873046875,7.618291949118076e-08,2.4128413962617715e-05,15,18,16,First order condition met
1,CHWIRUT2LS,3,True,0.011690139770507812,513.0480294068657,2.377948080117168e-08,52,58,44,First order condition met
2,PALMER5C,6,True,0.0033431053161621094,2.128086643454532,1.5634477670852334e-07,8,11,9,First order condition met
3,DENSCHNB,2,True,0.003451824188232422,4.498534519128175e-14,4.324940497121294e-07,11,16,12,First order condition met
4,GBRAINLS,2,True,0.020138978958129883,28.51585818940278,2.5856597731158812e-08,30,40,30,First order condition met
5,MGH10LS,3,False,0.24148201942443848,21741.583866766734,46858.85945715082,999,1009,593,Exceed max iterations
6,BOX3,3,True,0.0029082298278808594,1.1826564242789254e-06,4.771584251187408e-05,10,13,11,First order condition met
7,DENSCHNC,2,True,0.006018877029418945,0.18336165467800528,4.054899994395745e-07,23,30,24,First order condition met
8,LANCZOS3LS,6,True,0.01977992057800293,6.675561009696797e-07,2.5068715678482322e-05,45,50,46,First order condition met
9,GAUSS1LS,8,True,0.027347087860107422,1315.8222432033758,1.6292602527199503e-06,73,81,63,First order condition met
10,MGH09LS,4,True,0.017688751220703125,0.0017510406508455623,3.538194531657523e-05,50,55,51,First order condition met
11,LANCZOS1LS,6,True,0.017731904983520508,4.27888162225357e-06,2.2709339826690637e-05,40,45,41,First order condition met
12,GAUSS3LS,8,False,0.03720593452453613,1244.4846360131567,0.0017136858469398361,96,101,67,TR radius too small
13,DENSCHNA,2,True,0.0037910938262939453,3.8117999370045327e-13,9.928199164328244e-07,12,17,13,First order condition met
14,NELSONLS,3,False,0.02126598358154297,19.780771610511703,1292.4697624910734,81,86,45,TR radius too small
15,VANDANMSLS,22,False,0.00017595291137695312,15.000017493088045,2.3200991666503836,1,3,1,TR radius too small
16,DENSCHND,3,True,0.01649308204650879,1.8538684712515135e-08,1.9562252638659474e-05,65,70,66,First order condition met
17,DANWOODLS,2,False,0.00012111663818359375,,,0,2,2,Obj is nan or +/-inf
18,ZANGWIL2,2,True,0.00174713134765625,-18.200000009093674,5.653274782183493e-06,6,9,7,First order condition met
19,CUBE,2,True,0.018738985061645508,4.36524280019345e-13,3.778297041606963e-06,74,84,76,First order condition met
20,MUONSINELS,1,True,0.006040096282958984,51138.964297925966,1.541374638236448e-05,21,29,22,First order condition met
21,DENSCHNE,3,True,0.01225900650024414,2.343660995151739e-10,3.061745496169206e-05,37,42,38,First order condition met
22,PALMER8C,8,True,0.009983062744140625,0.15976783354927984,5.333752680144845e-06,28,33,29,First order condition met
23,PALMER5D,4,True,0.002480030059814453,87.33939475358343,5.026463386041223e-07,9,14,10,First order condition met
24,EXPFIT,2,True,0.009215831756591797,0.24051059399948488,1.8413965199561126e-05,29,34,30,First order condition met
25,HELIX,3,True,0.01175689697265625,2.5891441944059052e-14,2.90891832554313e-07,38,45,39,First order condition met
26,LSC2LS,3,True,0.05093097686767578,13.36051872224806,4.790898961154958e-05,161,167,69,First order condition met
27,KOWOSB,4,True,0.01358795166015625,0.00030780124111539893,2.4391787010371417e-05,35,40,36,First order condition met
