,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,2,True,0.005269050598144531,2.3443644700635672e-07,5.6043196031455844e-05,14,16,16,First order condition met
1,CHWIRUT2LS,3,False,0.016427993774414062,513.0479000966881,0.693239222515308,67,68,68,TR radius too small
2,PALMER5C,6,True,0.003426074981689453,2.1280866821762174,2.5167338982775833e-07,7,9,9,First order condition met
3,DENSCHNB,2,True,0.0030472278594970703,4.4096628937078666e-14,4.1998393916516843e-07,10,12,12,First order condition met
4,GBRAINLS,2,False,0.030169010162353516,28.51585467025871,0.0515693337906854,48,49,49,TR radius too small
5,MGH10LS,3,False,0.16047215461730957,21737.228024482727,3259666.325035412,621,622,622,TR radius too small
6,BOX3,3,True,0.0038862228393554688,1.1827037584843936e-06,4.771868796720586e-05,9,11,11,First order condition met
7,DENSCHNC,2,True,0.006408214569091797,0.18336165323853493,1.0845981875186077e-05,19,21,21,First order condition met
8,LANCZOS3LS,6,True,0.021706104278564453,6.765235471099806e-07,2.7264276642190677e-05,44,46,46,First order condition met
9,GAUSS1LS,8,False,0.034063100814819336,1315.822077033214,0.17685182769461966,88,89,89,TR radius too small
10,MGH09LS,4,True,0.018455028533935547,0.0017510438968315611,7.122165823375468e-05,49,51,51,First order condition met
11,LANCZOS1LS,6,True,0.016244173049926758,4.281276833273395e-06,5.836760618766558e-05,39,41,41,First order condition met
12,GAUSS3LS,8,False,0.04337620735168457,1244.4842581646226,2.256853200272356,95,96,96,TR radius too small
13,DENSCHNA,2,True,0.0032548904418945312,3.6352512796920397e-13,1.0039061563640727e-06,11,13,13,First order condition met
14,NELSONLS,3,False,0.04039883613586426,12.75878542215986,2871.2562016916563,115,116,116,TR radius too small
15,VANDANMSLS,22,True,6.198883056640625e-05,15.000017039477825,0.0,0,1,1,First order condition met
16,DENSCHND,3,True,0.015959978103637695,8.44991819293206e-08,4.893226196611891e-05,64,66,66,First order condition met
17,DANWOODLS,2,False,0.00016999244689941406,,,0,2,2,Obj is nan or +/-inf
18,ZANGWIL2,2,True,0.0031938552856445312,-18.199992301785127,4.778110310223919e-06,5,7,7,First order condition met
19,CUBE,2,True,0.014562845230102539,1.5706982697989702e-12,5.0116921234792395e-05,55,57,57,First order condition met
20,MUONSINELS,1,False,0.011754035949707031,51138.91708866606,0.7199354058246854,45,46,46,TR radius too small
21,DENSCHNE,3,True,0.010956048965454102,4.477953216563968e-10,4.232318073708431e-05,36,38,38,First order condition met
22,PALMER8C,8,True,0.016002178192138672,0.1597678341320261,5.334696543513166e-06,27,29,29,First order condition met
23,PALMER5D,4,True,0.002663135528564453,87.33939293026924,1.0473820766970086e-05,8,10,10,First order condition met
24,EXPFIT,2,True,0.007992982864379883,0.24051059205339698,4.5286622463987994e-05,28,30,30,First order condition met
25,HELIX,3,True,0.013020038604736328,1.7046382082375557e-13,1.3515929315819641e-05,42,44,44,First order condition met
26,LSC2LS,3,False,0.02684783935546875,13.87788300961256,0.0004777954008555586,89,90,90,TR radius too small
27,KOWOSB,4,True,0.014310359954833984,0.0003078008418248013,2.440035049623059e-05,34,36,36,First order condition met
28,S308,2,True,0.004864215850830078,0.77319903858006,9.923890274480006e-05,16,18,18,First order condition met
29,DANIWOODLS,2,True,0.00489497184753418,0.004317288250604179,1.0217601862378827e-05,19,21,21,First order condition met
30,DENSCHNF,2,True,0.0045299530029296875,5.195843755245733e-13,1.7847162114420253e-05,17,19,19,First order condition met
31,PALMER4C,8,True,0.012019157409667969,0.050310688156173455,4.64806819012654e-07,33,35,35,First order condition met
32,YFITU,3,False,0.0833899974822998,2.293821428156831e-09,0.002985381571267614,248,249,249,TR radius too small
33,GAUSS2LS,8,False,0.037580251693725586,1247.5279307426827,1.1642061797743115,82,83,83,TR radius too small
34,CHWIRUT1LS,3,False,0.01678323745727539,2384.476781090314,0.22224139321168193,65,66,66,TR radius too small
35,COOLHANSLS,9,False,0.04859304428100586,4.934709070880672e-05,0.2564422376436292,97,98,98,TR radius too small
36,HAHN1LS,7,False,0.45404577255249023,7.676068690945286,3912832.9469889067,999,1001,1001,Exceed max iterations
37,HIMMELBB,2,True,0.005686044692993164,2.868105947278652e-28,6.386980301540632e-11,26,28,28,First order condition met
38,VESUVIOLS,8,False,0.16333699226379395,991.4099575437381,9065.695692740734,258,259,259,TR radius too small
39,PALMER3C,8,True,0.009479999542236328,0.019537638793451606,4.089713991132318e-05,30,32,32,First order condition met
40,LOGHAIRY,2,False,0.001007080078125,6.552519798278809,0.0017394914420467305,11,12,12,TR radius too small
41,LANCZOS2LS,6,True,0.033743858337402344,4.350844656553221e-06,1.5501812762898304e-05,57,59,59,First order condition met
42,HEART6LS,6,False,0.4065122604370117,0.001063035184124429,16.74966282594216,999,1001,1001,Exceed max iterations
43,HIMMELBG,2,True,0.004338264465332031,9.456322391798722e-10,9.231405195108681e-05,15,17,17,First order condition met
44,MARATOSB,2,False,0.26454973220825195,-0.6602170784405563,72.8961262440946,999,1001,1001,Exceed max iterations
45,BRKMCC,2,True,0.0011339187622070312,0.1690426759701222,3.838627755901657e-06,3,5,5,First order condition met
46,STRTCHDV,10,True,0.010561704635620117,6.815357111999987e-08,6.238254949766246e-05,25,27,27,First order condition met
47,POWELLBSLS,2,False,0.11481904983520508,3.692031249613592e-07,0.009839121135533145,542,543,543,TR radius too small
48,DEVGLA2,5,False,0.00021791458129882812,,,0,2,2,Obj is nan or +/-inf
49,HILBERTA,2,True,0.0021970272064208984,7.396756053740043e-18,2.527753019995434e-09,7,9,9,First order condition met
50,RECIPELS,3,True,0.0035872459411621094,1.3880799288586834e-11,6.386687608092197e-08,7,9,9,First order condition met
51,PALMER2C,8,True,0.009639978408813477,0.014368885272033616,2.9482417457732265e-05,31,33,33,First order condition met
52,HIMMELBF,4,False,0.023360013961791992,318.57141567343206,0.0025449720894709605,73,74,74,TR radius too small
53,ROSENBRTU,2,False,0.0009989738464355469,100.9885505437851,0.002895551066627144,11,12,12,TR radius too small
54,STRATEC,10,True,0.014487028121948242,3.6893488147419103e+19,0.0,0,1,1,First order condition met
55,MGH17LS,5,True,0.003671884536743164,1.1060278480739756,8.598874898184256e-05,8,10,10,First order condition met
