,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,2,True,0.00471806526184082,8.064963168228899e-09,4.4801395685887345e-06,17,19,0,First order condition met
1,CHWIRUT2LS,3,False,0.019548892974853516,513.0480294068652,0.0008281018483496786,79,80,0,TR radius too small
2,PALMER5C,6,True,0.002132892608642578,2.1280866434545147,7.030074765891219e-11,6,8,0,First order condition met
3,DENSCHNB,2,True,0.003276824951171875,5.583798147288652e-12,4.72760671943945e-06,11,13,0,First order condition met
4,GBRAINLS,2,True,0.013014078140258789,28.515858189402834,9.991428265708433e-09,22,24,0,First order condition met
5,MGH10LS,3,False,1.330491065979004,22481.04685527328,48719370.183266625,4999,5001,0,Exceed max iterations
6,QING,100,True,0.07853007316589355,1.108400514736411e-12,9.064780892720866e-06,130,132,0,First order condition met
7,BOX3,3,True,0.004492044448852539,7.629882757872375e-12,5.422768828901247e-06,15,17,0,First order condition met
8,DENSCHNC,2,True,0.006128072738647461,0.18336165467793752,7.473449729001334e-08,24,26,0,First order condition met
9,LANCZOS3LS,6,True,0.02149510383605957,4.260374208660676e-06,8.173273202791354e-06,53,55,0,First order condition met
10,GAUSS1LS,8,True,0.02270197868347168,1315.8222432033767,2.793476579698894e-06,67,69,0,First order condition met
11,MGH09LS,4,True,0.05308389663696289,0.000939767230673702,6.720707548642579e-07,153,155,0,First order condition met
12,LANCZOS1LS,6,True,0.0330350399017334,4.2284990922772524e-06,2.311134551000302e-06,69,71,0,First order condition met
13,GAUSS3LS,8,True,0.029008150100708008,1244.4846360131564,8.007299560092253e-07,72,74,0,First order condition met
14,DENSCHNA,2,True,0.0029189586639404297,9.69222234440993e-12,9.519871955815147e-06,10,12,0,First order condition met
15,NELSONLS,3,False,0.014149188995361328,12.731348372641909,5027.906103008685,68,69,0,TR radius too small
16,LUKSAN21LS,100,False,3.327954053878784,36.004458967934035,0.3877239969517451,4999,5001,0,Exceed max iterations
17,VANDANMSLS,22,True,0.004651069641113281,9.623042851177823,3.2303890448074385e-06,16,18,0,First order condition met
18,SENSORS,100,True,0.1824951171875,-2108.53125,6.158455853919565e-07,88,90,0,First order condition met
19,DENSCHND,3,True,0.0232388973236084,1.493521661115987e-08,3.707664623345291e-06,80,82,0,First order condition met
20,DANWOODLS,2,False,0.0001232624053955078,,,0,2,0,Obj is nan or +/-inf
21,ZANGWIL2,2,True,0.0014808177947998047,-18.20000000910001,3.9061903366920716e-15,5,7,0,First order condition met
22,CUBE,2,True,0.015824079513549805,3.900393095591415e-15,2.700964326119821e-07,61,63,0,First order condition met
23,MUONSINELS,1,True,0.002197742462158203,51139.12719535319,1.48719436765532e-09,8,10,0,First order condition met
24,DENSCHNE,3,False,0.8988630771636963,0.4941231257483965,0.4176315892317564,4999,5001,0,Exceed max iterations
25,DMN15333LS,99,False,45.09135723114014,151.2338701151145,62.58693897514219,4999,5001,0,Exceed max iterations
26,PALMER8C,8,True,0.012536764144897461,0.15976783349656232,5.4421283387213e-07,26,28,0,First order condition met
27,DIAMON3DLS,99,False,38.99250316619873,496.4167404658021,138.59457589589869,4999,5001,0,Exceed max iterations
28,PALMER5D,4,True,0.002380847930908203,87.33939475358288,1.0636340619668802e-10,8,10,0,First order condition met
29,EXPFIT,2,True,0.006609201431274414,0.24051059399905833,2.345483991026786e-08,23,25,0,First order condition met
30,HELIX,3,True,0.01064610481262207,1.2771385688528855e-16,1.0959952386175257e-07,36,38,0,First order condition met
31,LSC2LS,3,True,0.14770889282226562,13.358898254928434,9.851641098819894e-07,652,654,0,First order condition met
32,KOWOSB,4,True,0.014034271240234375,0.00030780106636545834,9.121084803917968e-06,42,44,0,First order condition met
33,S308,2,True,0.006166934967041016,0.7731990564929243,6.438065518457269e-08,21,23,0,First order condition met
34,DANIWOODLS,2,True,0.003812074661254883,0.0043173084082913,1.6767220054382324e-07,16,18,0,First order condition met
35,DENSCHNF,2,True,0.004498958587646484,1.2201068388754693e-15,6.245889396439803e-07,18,20,0,First order condition met
36,PALMER4C,8,True,0.006038665771484375,0.05031068694932469,1.3408173032086153e-08,26,28,0,First order condition met
37,YFITU,3,True,0.06185197830200195,2.4060465910396645e-11,6.657022619284381e-08,216,218,0,First order condition met
38,GAUSS2LS,8,True,0.021921634674072266,1247.5282092309983,1.514397161373278e-06,64,66,0,First order condition met
39,CHWIRUT1LS,3,True,0.014679193496704102,2384.4771393093483,5.007039928314449e-09,61,63,0,First order condition met
40,COOLHANSLS,9,True,0.11060595512390137,6.545921836890957e-10,7.193667752159506e-06,217,219,0,First order condition met
41,HAHN1LS,7,False,1.876089096069336,3.0205656322059653,386221.5069703636,4999,5001,0,Exceed max iterations
42,HIMMELBB,2,True,0.0040378570556640625,8.917869730287936e-23,3.763304180289999e-08,21,23,0,First order condition met
43,VESUVIOLS,8,False,0.3065481185913086,991.410002872594,0.26204494777075926,454,455,0,TR radius too small
44,PALMER3C,8,False,0.014425992965698242,0.019537638953601555,1.1602673631605434e-05,62,63,0,TR radius too small
45,LUKSAN22LS,100,False,3.337920904159546,872.923031883438,0.00343716059446897,4999,5001,0,Exceed max iterations
46,CHNROSNB,50,True,0.8440136909484863,1.3686070005109974e-11,6.717843280901667e-06,1349,1351,0,First order condition met
47,LOGHAIRY,2,True,0.2985677719116211,0.1823215567939546,2.5860014750145104e-09,1084,1086,0,First order condition met
48,HYDCAR6LS,29,False,4.100624084472656,0.012382262331767122,0.07485642897872045,4999,5001,0,Exceed max iterations
49,LANCZOS2LS,6,True,0.02660989761352539,4.300955303504465e-06,6.9346009819753505e-06,59,61,0,First order condition met
50,HEART6LS,6,True,1.1404109001159668,1.1288605998135861e-09,9.403713027942712e-07,3083,3085,0,First order condition met
51,HIMMELBG,2,True,0.004103899002075195,3.156677341225546e-14,5.304162203159084e-07,15,17,0,First order condition met
52,MARATOSB,2,True,0.42238712310791016,-1.000000062499963,2.4203788597790215e-07,1569,1571,0,First order condition met
53,TOINTQOR,50,True,0.04294705390930176,1175.472222146171,6.526393939702587e-06,57,59,0,First order condition met
54,BRKMCC,2,True,0.0010907649993896484,0.1690426791967305,3.850303056491981e-06,3,5,0,First order condition met
55,STRTCHDV,10,True,0.013219833374023438,6.1152811446365e-09,9.566048943790577e-06,31,33,0,First order condition met
56,POWELLBSLS,2,True,0.12194418907165527,3.8546624367392477e-07,9.099273856872679e-07,597,599,0,First order condition met
57,DEVGLA2,5,False,0.007693052291870117,,,23,25,0,Obj is nan or +/-inf
58,HILBERTA,2,True,0.0018341541290283203,1.859957652080084e-21,1.564766534601076e-11,6,8,0,First order condition met
59,RECIPELS,3,True,0.00321197509765625,2.935850919364874e-08,9.97767531925749e-06,10,12,0,First order condition met
60,PALMER2C,8,True,0.027859926223754883,0.014368885658140464,3.344365315347883e-07,36,38,0,First order condition met
61,HIMMELBF,4,True,0.014405250549316406,318.57174879117576,6.3030741480907525e-06,46,48,0,First order condition met
62,ROSENBRTU,2,True,0.0366518497467041,3.635401929705178e-13,5.74700586437395e-07,132,134,0,First order condition met
63,STRATEC,10,False,3.719228982925415,2212.2622909073493,5.048176970203523e-05,194,195,0,TR radius too small
64,MGH17LS,5,True,0.01064920425415039,1.0224320321058287,3.02241129846162e-06,30,32,0,First order condition met
65,DEVGLA1,4,False,0.00016808509826660156,,,0,2,0,Obj is nan or +/-inf
66,BENNETT5LS,3,False,0.018314123153686523,0.0005389171203865774,1.9057949851539142e-05,70,71,0,TR radius too small
67,HILBERTB,10,True,0.021330833435058594,2.8104383177564387e-14,7.518799234040705e-07,5,7,0,First order condition met
68,HIMMELBCLS,2,True,0.00308990478515625,2.113881148888779e-20,1.7848497972023968e-09,11,13,0,First order condition met
69,DMN15332LS,66,False,31.40816378593445,1336.4924844727325,0.9569579615888589,4999,5001,0,Exceed max iterations
70,BROWNDEN,4,True,0.009241104125976562,85822.20135243259,3.158249742579787e-07,34,36,0,First order condition met
71,LSC1LS,3,True,0.022804975509643555,7.711852238819965,4.075306747492499e-08,68,70,0,First order condition met
72,HIMMELBH,2,True,0.002507925033569336,-0.9999999999999745,3.195592147161391e-07,9,11,0,First order condition met
73,ENGVAL2,3,True,0.013799190521240234,6.506718232200687e-13,7.189447980185652e-07,47,49,0,First order condition met
74,POWELLSQLS,2,True,0.006777048110961914,7.526130034390626e-18,5.486965814746331e-07,25,27,0,First order condition met
75,CERI651DLS,7,False,0.0374300479888916,16.27344514586962,2027.0454176983922,95,96,0,TR radius too small
76,GAUSSIAN,3,True,0.0012950897216796875,1.1484174445666464e-08,7.566704471792154e-06,4,6,0,First order condition met
77,MISRA1BLS,2,False,1.0242080688476562,0.07546478014351408,14.601900650687256,4999,5001,0,Exceed max iterations
78,GULF,3,True,0.023571014404296875,1.1238467717681617e-08,5.614628853473092e-07,69,71,0,First order condition met
79,PRICE3,2,True,0.005312919616699219,6.450383766272737e-18,3.062686174538643e-08,22,24,0,First order condition met
80,LUKSAN15LS,100,False,0.06023573875427246,3.5696968772270528,0.00011704370000343428,83,84,0,TR radius too small
81,BIGGS6,6,True,0.02493906021118164,0.005655649447740625,8.884609192858424e-06,65,67,0,First order condition met
82,MGH10SLS,3,False,0.3351891040802002,87.94585517067512,0.027631756588776927,1076,1077,0,TR radius too small
83,METHANL8LS,31,False,4.08013916015625,0.025356927855081986,0.5338817395123906,4999,5001,0,Exceed max iterations
84,SSI,3,True,0.2078380584716797,2.1120529165677908e-05,3.567192174244433e-06,770,772,0,First order condition met
85,LUKSAN17LS,100,False,0.6200141906738281,0.49316129032672823,3.091438513044384e-05,879,880,0,TR radius too small
