,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,2,True,0.005006074905395508,2.6276362841145608e-09,1.9318167834237226e-06,18,21,19,First order condition met
1,CHWIRUT2LS,3,True,0.011520862579345703,513.0480294068657,2.377948080117168e-08,52,58,44,First order condition met
2,PALMER5C,6,True,0.003236055374145508,2.128086643454532,1.5634477670852334e-07,8,11,9,First order condition met
3,DENSCHNB,2,True,0.0030510425567626953,4.498534519128175e-14,4.324940497121294e-07,11,16,12,First order condition met
4,GBRAINLS,2,True,0.02088308334350586,28.51585818940278,2.5856597731158812e-08,30,40,30,First order condition met
5,MGH10LS,3,False,1.1832678318023682,21741.5837493217,48775.5852178448,4999,5009,593,Exceed max iterations
6,QING,100,True,0.07639694213867188,5.4848333896132134e-14,4.970457440529217e-06,127,143,69,First order condition met
7,BOX3,3,True,0.0046100616455078125,2.5850524246029727e-10,7.270348900400471e-07,16,21,17,First order condition met
8,DENSCHNC,2,True,0.005980730056762695,0.18336165467800528,4.054899994395745e-07,23,30,24,First order condition met
9,LANCZOS3LS,6,True,0.03495502471923828,1.5719752305521444e-07,1.6802374325118496e-06,84,89,85,First order condition met
10,GAUSS1LS,8,True,0.027952909469604492,1315.8222432033758,1.6292602527199503e-06,73,81,63,First order condition met
11,MGH09LS,4,True,0.05114388465881348,0.0009146648377807757,9.353236245614617e-07,147,153,148,First order condition met
12,LANCZOS1LS,6,True,0.017050981521606445,4.278868113816289e-06,5.776843572256174e-07,42,47,43,First order condition met
13,GAUSS3LS,8,False,0.03648114204406738,1244.4846360131567,0.0017136858469398361,96,101,67,TR radius too small
14,DENSCHNA,2,True,0.003287076950073242,3.8117999370045327e-13,9.928199164328244e-07,12,17,13,First order condition met
15,NELSONLS,3,False,0.024002790451049805,19.780771610511703,1292.4697624910734,81,86,45,TR radius too small
16,LUKSAN21LS,100,False,3.1484100818634033,35.23082433483333,0.7532986829422772,4999,5003,5001,Exceed max iterations
