,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,2,True,0.0061283111572265625,8.06107904929654e-09,4.478479306864418e-06,17,19,19,First order condition met
1,CHWIRUT2LS,3,False,0.016581058502197266,513.0479000966881,0.693239222515308,67,68,68,TR radius too small
2,PALMER5C,6,True,0.004042863845825195,2.1280866821762174,2.5167338982775833e-07,7,9,9,First order condition met
3,DENSCHNB,2,True,0.0030930042266845703,4.4096628937078666e-14,4.1998393916516843e-07,10,12,12,First order condition met
4,GBRAINLS,2,False,0.028223037719726562,28.51585467025871,0.0515693337906854,48,49,49,TR radius too small
5,MGH10LS,3,False,0.1638479232788086,21737.228024482727,3259666.325035412,621,622,622,TR radius too small
6,QING,100,False,0.08343815803527832,2.453930392221082e-09,0.0014194343644705714,125,126,126,TR radius too small
7,BOX3,3,True,0.004699230194091797,2.5930142744361867e-10,7.462614682131151e-07,15,17,17,First order condition met
8,DENSCHNC,2,True,0.006863832473754883,0.18336159735918045,2.867803574478652e-06,22,24,24,First order condition met
9,LANCZOS3LS,6,True,0.03612494468688965,1.5719153514948125e-07,2.26091429798653e-06,83,85,85,First order condition met
10,GAUSS1LS,8,False,0.03475189208984375,1315.822077033214,0.17685182769461966,88,89,89,TR radius too small
11,MGH09LS,4,False,0.05777311325073242,0.0009146643556050549,1.557709033326229e-05,160,161,161,TR radius too small
12,LANCZOS1LS,6,True,0.017158985137939453,4.2787878431482795e-06,2.796404466154108e-06,41,43,43,First order condition met
13,GAUSS3LS,8,False,0.04347395896911621,1244.4842581646226,2.256853200272356,95,96,96,TR radius too small
14,DENSCHNA,2,True,0.0033500194549560547,3.6352512796920397e-13,1.0039061563640727e-06,11,13,13,First order condition met
15,NELSONLS,3,False,0.04052615165710449,12.75878542215986,2871.2562016916563,115,116,116,TR radius too small
16,LUKSAN21LS,100,False,3.198638916015625,35.23082433483333,0.7532986829422772,4999,5001,5001,Exceed max iterations
17,VANDANMSLS,22,True,6.985664367675781e-05,15.000017039477825,0.0,0,1,1,First order condition met
18,SENSORS,100,False,0.17989706993103027,-2108.531482892968,0.002045045348377962,94,95,95,TR radius too small
19,DENSCHND,3,True,0.017195940017700195,1.2409797675583256e-08,5.165165074385733e-06,66,68,68,First order condition met
20,DANWOODLS,2,False,0.00015473365783691406,,,0,2,2,Obj is nan or +/-inf
21,ZANGWIL2,2,True,0.0032427310943603516,-18.199992301785127,4.778110310223919e-06,5,7,7,First order condition met
22,CUBE,2,False,0.020984888076782227,1.4958110010359791e-12,4.784999903136498e-05,82,83,83,TR radius too small
23,MUONSINELS,1,False,0.011671066284179688,51138.91708866606,0.7199354058246854,45,46,46,TR radius too small
