,problem,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,converged,0.031196117401123047,8.65161835162587e-10,7.862007443684546e-07,20,22,22,First order condition met
1,CHWIRUT2LS,failed,0.08080482482910156,513.0479621107052,0.5265753236504345,81,82,82,TR radius too small
2,PALMER5C,converged,0.007305145263671875,2.128086660755798,6.585520774201472e-07,11,13,13,First order condition met
3,DENSCHNB,converged,0.008450031280517578,8.266563245696657e-14,7.54600406194249e-07,9,11,11,First order condition met
4,GBRAINLS,failed,0.09749794006347656,28.515857454988783,0.0007973650803552077,58,59,59,TR radius too small
5,MGH10LS,failed,0.6965429782867432,163810.10022354126,23432165.57580431,789,790,790,TR radius too small
6,QING,failed,0.2013719081878662,1.878674993349705e-09,0.0014202951308212627,108,109,109,TR radius too small
7,BOX3,converged,0.018133163452148438,5.086154582519737e-14,4.783334284150746e-08,14,16,16,First order condition met
8,DENSCHNC,failed,0.03513598442077637,0.18336159735918045,2.8678019012306567e-06,47,48,48,TR radius too small
9,LANCZOS3LS,failed,0.22704076766967773,1.7203243853703212e-06,1.848450495865918e-06,169,170,170,TR radius too small
10,GAUSS1LS,failed,0.10872101783752441,1315.8219544534609,187.38624054099478,91,92,92,TR radius too small
11,MGH09LS,converged,0.14562106132507324,0.001019603831537097,3.406086891887066e-07,92,94,94,First order condition met
12,LANCZOS1LS,converged,0.21318578720092773,7.282137684770651e-07,6.43216111375221e-07,163,165,165,First order condition met
13,GAUSS3LS,failed,0.10691618919372559,1244.4843320759246,2.8048830599457895,96,97,97,TR radius too small
14,DENSCHNA,converged,0.009437084197998047,2.7197441783881433e-16,4.664542215626026e-08,13,15,15,First order condition met
15,NELSONLS,failed,0.046228885650634766,20.617790434938797,1327.9969961358001,66,67,67,TR radius too small
16,LUKSAN21LS,failed,4.988002061843872,44.689809152577595,1.7181527442845337,1999,2001,2001,Exceed max iterations
17,VANDANMSLS,converged,0.000431060791015625,15.000017039477825,0.0,0,1,1,First order condition met
18,SENSORS,failed,0.38890695571899414,-2108.5314046744465,0.0003355467821125485,65,66,66,TR radius too small
19,DENSCHND,converged,0.10275411605834961,8.517955995927806e-09,6.198197544796551e-07,83,85,85,First order condition met
20,DANWOODLS,failed,0.0008580684661865234,,,0,2,2,Obj is nan or +/-inf
21,ZANGWIL2,failed,0.023528099060058594,-18.20000506867839,2.750817319692051e-06,31,32,32,TR radius too small
22,CUBE,failed,0.09876012802124023,3.452630095344099e-12,8.922092213303863e-05,120,121,121,TR radius too small
23,MUONSINELS,failed,0.04352307319641113,51156.532663699225,0.17243516531220848,50,51,51,TR radius too small
24,DENSCHNE,converged,0.05260586738586426,4.783321329710166e-15,1.3832311353326476e-07,45,47,47,First order condition met
25,DMN15333LS,failed,57.817020893096924,175.38188647018944,107.28427980500105,1999,2001,2001,Exceed max iterations
26,PALMER8C,converged,0.03376412391662598,0.1597678320488285,6.664221616049867e-07,34,36,36,First order condition met
27,DIAMON3DLS,failed,53.25523090362549,2784.588215443323,1294.3873771149922,1999,2001,2001,Exceed max iterations
28,PALMER5D,failed,0.05764412879943848,87.33939212560654,7.172827997243556e-06,49,50,50,TR radius too small
29,EXPFIT,failed,0.04362010955810547,0.2405104703784673,1.662305426257884e-05,49,50,50,TR radius too small
30,HELIX,converged,0.04524803161621094,9.236151648427444e-17,2.7314296927012654e-08,49,51,51,First order condition met
31,LSC2LS,failed,0.13497591018676758,13.38481492549181,0.0113120813425289,139,140,140,TR radius too small
32,KOWOSB,converged,0.042044878005981445,0.0003078007316706377,7.598824790254257e-07,36,38,38,First order condition met
33,S308,converged,0.01637411117553711,0.7731990534812212,1.2410048405651548e-07,16,18,18,First order condition met
34,DANIWOODLS,converged,0.02463221549987793,103.9178204536438,8.644199949507724e-07,20,22,22,First order condition met
35,DENSCHNF,failed,0.03999805450439453,2.1671553440683056e-13,1.1035833765547956e-05,49,50,50,TR radius too small
36,PALMER4C,converged,0.031094789505004883,0.05031068641051206,5.182415554738212e-07,36,38,38,First order condition met
37,YFITU,failed,0.39496803283691406,6.849221201050276e-11,0.0025618790428960725,246,247,247,TR radius too small
38,GAUSS2LS,failed,0.0944359302520752,1247.5280586603476,6.475851236804124,89,90,90,TR radius too small
39,CHWIRUT1LS,failed,0.06757116317749023,2384.4767710183733,4.612908995681583,85,86,86,TR radius too small
40,COOLHANSLS,failed,0.3182411193847656,5.955237924321066e-09,0.05550469449038762,282,283,283,TR radius too small
41,HAHN1LS,failed,4.0983171463012695,30.326097671260413,163651.43740657793,1999,2001,2001,Exceed max iterations
42,HIMMELBB,converged,0.02721405029296875,2.1179921534112096e-17,1.0841272679936607e-08,31,33,33,First order condition met
43,VESUVIOLS,failed,0.34857821464538574,991.4099611192764,1292.1840350134478,226,227,227,TR radius too small
44,PALMER3C,converged,0.03235316276550293,0.01953763867163616,2.174316093233451e-07,38,40,40,First order condition met
45,LUKSAN22LS,failed,0.3903622627258301,868.9404787368928,0.008675656161385142,205,206,206,TR radius too small
46,CHNROSNB,failed,2.2156426906585693,6.148187339284984e-10,5.247950911013418e-05,968,969,969,TR radius too small
47,LOGHAIRY,failed,0.9706885814666748,5.942544937133789,6.4437750930263e-05,1069,1070,1070,TR radius too small
48,HYDCAR6LS,failed,6.37466287612915,0.0016749040981261596,0.06073441939872635,1999,2001,2001,Exceed max iterations
49,LANCZOS2LS,failed,0.1915419101715088,5.276363945344587e-07,3.0957957825051707e-06,180,181,181,TR radius too small
50,HEART6LS,failed,1.9260013103485107,0.00013746238057832372,0.8296987697758392,1738,1739,1739,TR radius too small
51,HIMMELBG,converged,0.01010894775390625,6.380171320733916e-14,8.74979348957744e-07,5,7,7,First order condition met
52,MARATOSB,failed,1.2382919788360596,-1.0000001218616454,0.04632556990691255,1700,1701,1701,TR radius too small
53,TOINTQOR,failed,0.09728169441223145,1175.4722076782025,4.676404379532552e-06,58,59,59,TR radius too small
54,BRKMCC,converged,0.007946014404296875,0.16904267494101077,5.242180901604371e-07,9,11,11,First order condition met
55,STRTCHDV,converged,0.051774024963378906,4.1515764244892846e-10,8.012393318019974e-07,50,52,52,First order condition met
56,POWELLBSLS,failed,0.5525879859924316,3.878665211232146e-07,0.0012455616740915095,760,761,761,TR radius too small
57,DEVGLA2,failed,0.00048804283142089844,,,0,2,2,Obj is nan or +/-inf
58,HILBERTA,converged,0.0032770633697509766,1.6249132849256913e-23,6.373202694217488e-12,3,5,5,First order condition met
59,RECIPELS,converged,0.04060697555541992,1.1743879819166265e-09,8.580806815314116e-07,45,47,47,First order condition met
60,PALMER2C,converged,0.026662349700927734,0.014368885497170858,9.332523809694937e-07,38,40,40,First order condition met
61,HIMMELBF,failed,0.058335065841674805,318.5712688991771,0.09124304981957089,66,67,67,TR radius too small
62,ROSENBRTU,failed,0.12338876724243164,1.638954445419658e-13,1.749843272990902e-05,117,118,118,TR radius too small
63,STRATEC,converged,0.02768111228942871,0.0,0.0,0,1,1,First order condition met
64,MGH17LS,failed,0.06957101821899414,1.0224320013822472,2.110459088251186e-05,60,61,61,TR radius too small
65,DEVGLA1,failed,0.0005381107330322266,,,0,2,2,Obj is nan or +/-inf
66,BENNETT5LS,failed,0.0005269050598144531,,,0,2,2,Obj is nan or +/-inf
67,HILBERTB,converged,0.009711980819702148,2.2752738207765108e-14,6.771477354116209e-07,8,10,10,First order condition met
68,HIMMELBCLS,converged,0.00900578498840332,1.7848013343679022e-14,9.680892983838087e-07,15,17,17,First order condition met
69,DMN15332LS,failed,37.26423120498657,1337.229339299593,1.654417775065655,1999,2001,2001,Exceed max iterations
70,BROWNDEN,failed,0.05440378189086914,85822.16778093576,0.10112576678251649,68,69,69,TR radius too small
71,LSC1LS,failed,0.0861063003540039,7.711844563484192,0.0028869747886845114,94,95,95,TR radius too small
72,HIMMELBH,failed,0.05249166488647461,-1.000000242422344,1.0115243642614567e-06,37,38,38,TR radius too small
73,ENGVAL2,failed,0.0806429386138916,4.128223591080583e-13,4.007541021288709e-06,97,98,98,TR radius too small
74,POWELLSQLS,converged,0.02053093910217285,3.9349892701906475e-13,1.9873193343049476e-09,24,26,26,First order condition met
75,CERI651DLS,failed,0.29525303840637207,14.017532683676109,24.61992060480863,304,305,305,TR radius too small
76,GAUSSIAN,converged,0.007935047149658203,1.1281758471870518e-08,7.104098957521761e-07,5,7,7,First order condition met
77,MISRA1BLS,failed,0.3355879783630371,0.07556599215604365,424.25769101869133,616,617,617,TR radius too small
78,GULF,failed,0.22528815269470215,1.2604294436121389e-09,5.187968477256193e-06,163,164,164,TR radius too small
79,PRICE3,failed,0.05421018600463867,2.035630693026701e-15,1.096295958232156e-06,58,59,59,TR radius too small
80,LUKSAN15LS,failed,0.18667078018188477,3.569697195896879,0.13570992341059,88,89,89,TR radius too small
81,BIGGS6,converged,0.09075021743774414,0.005655643902116481,9.443519263116182e-07,62,64,64,First order condition met
82,MGH10SLS,failed,2.069261074066162,1125301714.7460938,81194266.6504073,1999,2001,2001,Exceed max iterations
83,METHANL8LS,failed,3.8888468742370605,0.00044790676048074454,0.013957966986359897,1050,1051,1051,TR radius too small
84,SSI,failed,1.2289741039276123,7.787443792039994e-06,8.010160752645751e-05,1129,1130,1130,TR radius too small
85,LUKSAN17LS,failed,2.0237231254577637,0.4931929392114398,0.018494938851712963,784,785,785,TR radius too small
86,TOINTPSP,failed,0.24382495880126953,225.56040322989733,0.0004942503331457265,111,112,112,TR radius too small
87,ROSENBR,converged,0.06457710266113281,8.58639348862939e-14,2.860955572895653e-07,66,68,68,First order condition met
88,ROSZMAN1LS,failed,2.6176321506500244,0.046566808745410526,0.9335127733969737,1999,2001,2001,Exceed max iterations
89,PALMER1C,failed,0.05913591384887695,0.09760504718214236,3.068176579505925e-05,74,75,75,TR radius too small
90,HIELOW,converged,0.003219127655029297,0.0,0.0,0,1,1,First order condition met
91,VIBRBEAM,failed,4.03347110748291,10.128193376469426,21062.3157100959,1999,2001,2001,Exceed max iterations
92,CERI651BLS,failed,0.2582998275756836,95.90501035307534,0.19310863590376232,196,197,197,TR radius too small
93,WAYSEA1,failed,0.0917809009552002,8.11614501734087e-13,8.307113840732898e-05,104,105,105,TR radius too small
94,METHANB8LS,failed,0.48044896125793457,1.4203794250043563e-05,0.004328957668885795,137,138,138,TR radius too small
95,BARD,failed,0.12669110298156738,0.00821487226999551,1.0126424706806424e-06,56,57,57,TR radius too small
96,PRICE4,converged,0.054338693618774414,4.995668338397865e-09,7.350125890512969e-07,47,49,49,First order condition met
97,BEALE,converged,0.11494827270507812,7.105427357601002e-14,4.6552689552963326e-07,29,31,31,First order condition met
98,WATSON,failed,0.16038298606872559,9.788639381295896e-08,2.9408177292235513e-05,112,113,113,TR radius too small
99,ALLINITU,failed,0.0703277587890625,5.7443841635249555,1.2434642119145367e-06,43,44,44,TR radius too small
100,LUKSAN13LS,failed,0.46991682052612305,25188.859626218677,0.1601932161920142,221,222,222,TR radius too small
101,MISRA1DLS,failed,0.3585968017578125,0.0564344358863309,540.6282293420287,507,508,508,TR radius too small
102,MEXHAT,failed,0.10029816627502441,-0.040009999999573775,0.0002161246617018442,146,147,147,TR radius too small
103,HATFLDE,failed,0.06038975715637207,2.7287306142848022e-06,2.4970715160072995e-06,50,51,51,TR radius too small
104,VESUVIALS,failed,5.8803629875183105,1036.5882627515994,5727.536927857149,1999,2001,2001,Exceed max iterations
105,DMN37143LS,failed,55.23731827735901,212.45059486652752,11.685257684347201,1999,2001,2001,Exceed max iterations
106,BROWNBS,failed,0.26230406761169434,1.5872937187735362e-12,2.3841857910179547,535,536,536,TR radius too small
107,LUKSAN11LS,failed,4.02283501625061,77.70644953343157,14.830025168412206,1999,2001,2001,Exceed max iterations
108,PALMER1D,failed,0.06359291076660156,0.6526739718392491,2.900837250384874e-05,74,75,75,TR radius too small
109,WAYSEA2,converged,0.051490068435668945,8.091281815056398e-15,9.037893443922318e-07,37,39,39,First order condition met
110,HATFLDGLS,converged,0.21430087089538574,1.8461046767716204e-12,4.777541526653545e-07,72,74,74,First order condition met
111,EXP2,converged,0.03186678886413574,2.8089832503546414e-15,2.2084405222046217e-08,13,15,15,First order condition met
